userName;score;content;Layanan;Fitur;Kebermanfaatan;Bisnis;Non Aspek;jumlah_aspek_disebut;casefolded;cleaned;tokens;filtered;normalized;stemmed;final_text
nur maulana;5;Bermanfaat dan mudah di mengerti;0;0;1;0;0;1;bermanfaat dan mudah di mengerti;bermanfaat dan mudah di mengerti;['bermanfaat', 'dan', 'mudah', 'di', 'mengerti'];['bermanfaat', 'mudah', 'mengerti'];['bermanfaat', 'mudah', 'mengerti'];['manfaat', 'mudah', 'erti'];manfaat mudah erti
Abdul Kholiq;5;Barang sudah diterima,dengan keadaan baik trimakasih;0;0;0;1;0;1;barang sudah diterima,dengan keadaan baik trimakasih;barang sudah diterima dengan keadaan baik trimakasih;['barang', 'sudah', 'diterima', 'dengan', 'keadaan', 'baik', 'trimakasih'];['barang', 'diterima', 'trimakasih'];['barang', 'diterima', 'trimakasih'];['barang', 'terima', 'trimakasih'];barang terima trimakasih
Naufal Al muchsin;5;Dengan bukalapak membuat segala keperluan jadi mudah dan cepat;0;0;0;1;0;1;dengan bukalapak membuat segala keperluan jadi mudah dan cepat;dengan bukalapak membuat segala keperluan jadi mudah dan cepat;['dengan', 'bukalapak', 'membuat', 'segala', 'keperluan', 'jadi', 'mudah', 'dan', 'cepat'];['bukalapak', 'keperluan', 'mudah', 'cepat'];['bukalapak', 'keperluan', 'mudah', 'cepat'];['bukalapak', 'perlu', 'mudah', 'cepat'];bukalapak perlu mudah cepat
Pijar Samudra;3;Sudah mau bangkrut kah? pilihan pulsa makin dikit, voucher makin dikit, bonus harian juga skrg udh ga ada..;0;0;0;-1;0;1;sudah mau bangkrut kah? pilihan pulsa makin dikit, voucher makin dikit, bonus harian juga skrg udh ga ada..;sudah mau bangkrut kah pilihan pulsa makin dikit voucher makin dikit bonus harian juga skrg udh ga ada;['sudah', 'mau', 'bangkrut', 'kah', 'pilihan', 'pulsa', 'makin', 'dikit', 'voucher', 'makin', 'dikit', 'bonus', 'harian', 'juga', 'skrg', 'udh', 'ga', 'ada'];['bangkrut', 'kah', 'pilihan', 'pulsa', 'dikit', 'voucher', 'dikit', 'bonus', 'harian', 'skrg', 'udh', 'ga'];['bangkrut', 'kah', 'pilihan', 'pulsa', 'dikit', 'voucher', 'dikit', 'bonus', 'harian', 'skrg', 'sudah', 'tidak'];['bangkrut', 'kah', 'pilih', 'pulsa', 'dikit', 'voucher', 'dikit', 'bonus', 'hari', 'skrg', 'sudah', 'tidak'];bangkrut kah pilih pulsa dikit voucher dikit bonus hari skrg sudah tidak
Dimas Mong;1;Jual produk digital, tapi produknya tidak tampil 👎;-1;0;0;0;0;1;jual produk digital, tapi produknya tidak tampil 👎;jual produk digital tapi produknya tidak tampil;['jual', 'produk', 'digital', 'tapi', 'produknya', 'tidak', 'tampil'];['jual', 'produk', 'digital', 'produknya', 'tampil'];['jual', 'produk', 'digital', 'produknya', 'tampil'];['jual', 'produk', 'digital', 'produk', 'tampil'];jual produk digital produk tampil
ahmad sopyan07;1;Toko gw di non aktifkan permanen dan semua produk dihapus otomatis. Dah susah2 ratusan upload produk eh maen tutup sama hapus aja.;0;0;0;-1;-1;2;toko gw di non aktifkan permanen dan semua produk dihapus otomatis. dah susah2 ratusan upload produk eh maen tutup sama hapus aja.;toko gw di non aktifkan permanen dan semua produk dihapus otomatis dah susah ratusan upload produk eh maen tutup sama hapus aja;['toko', 'gw', 'di', 'non', 'aktifkan', 'permanen', 'dan', 'semua', 'produk', 'dihapus', 'otomatis', 'dah', 'susah', 'ratusan', 'upload', 'produk', 'eh', 'maen', 'tutup', 'sama', 'hapus', 'aja'];['toko', 'gw', 'non', 'aktifkan', 'permanen', 'produk', 'dihapus', 'otomatis', 'dah', 'susah', 'ratusan', 'upload', 'produk', 'eh', 'maen', 'tutup', 'hapus', 'aja'];['toko', 'saya', 'non', 'aktifkan', 'permanen', 'produk', 'dihapus', 'otomatis', 'dah', 'susah', 'ratusan', 'upload', 'produk', 'eh', 'maen', 'tutup', 'hapus', 'saja'];['toko', 'saya', 'non', 'aktif', 'permanen', 'produk', 'hapus', 'otomatis', 'dah', 'susah', 'ratus', 'upload', 'produk', 'eh', 'maen', 'tutup', 'hapus', 'saja'];toko saya non aktif permanen produk hapus otomatis dah susah ratus upload produk eh maen tutup hapus saja
Dendi 021;5;Pelayanan bagus banget mantap pokona mah lah;1;0;0;0;0;1;pelayanan bagus banget mantap pokona mah lah;pelayanan bagus banget mantap pokona mah lah;['pelayanan', 'bagus', 'banget', 'mantap', 'pokona', 'mah', 'lah'];['pelayanan', 'bagus', 'banget', 'mantap', 'pokona', 'mah'];['pelayanan', 'bagus', 'banget', 'mantap', 'pokona', 'mah'];['layan', 'bagus', 'banget', 'mantap', 'pokona', 'mah'];layan bagus banget mantap pokona mah
Aceng Khiyaruman;2;Aplikasinya baik dan bisa dipercaya, sayangnya masih ada diskriminasi dalam promo dan bonus, dan tidak ada perubahan. Maaf bintanya harus saya turunkan.;-1;-1;0;-1;1;4;aplikasinya baik dan bisa dipercaya, sayangnya masih ada diskriminasi dalam promo dan bonus, dan tidak ada perubahan. maaf bintanya harus saya turunkan.;aplikasinya baik dan bisa dipercaya sayangnya masih ada diskriminasi dalam promo dan bonus dan tidak ada perubahan maaf bintanya harus saya turunkan;['aplikasinya', 'baik', 'dan', 'bisa', 'dipercaya', 'sayangnya', 'masih', 'ada', 'diskriminasi', 'dalam', 'promo', 'dan', 'bonus', 'dan', 'tidak', 'ada', 'perubahan', 'maaf', 'bintanya', 'harus', 'saya', 'turunkan'];['aplikasinya', 'dipercaya', 'sayangnya', 'diskriminasi', 'promo', 'bonus', 'perubahan', 'maaf', 'bintanya', 'turunkan'];['aplikasinya', 'dipercaya', 'sayangnya', 'diskriminasi', 'promo', 'bonus', 'perubahan', 'maaf', 'bintanya', 'turunkan'];['aplikasi', 'percaya', 'sayang', 'diskriminasi', 'promo', 'bonus', 'ubah', 'maaf', 'bintanya', 'turun'];aplikasi percaya sayang diskriminasi promo bonus ubah maaf bintanya turun
Fauzul Nicky;5;Memang bukalapak the best.. Sangat membantu dalam segala hal.. Memuaskan pokoknya.. Terimakasih bukalapak 😎;0;0;1;1;1;3;memang bukalapak the best.. sangat membantu dalam segala hal.. memuaskan pokoknya.. terimakasih bukalapak 😎;memang bukalapak the best sangat membantu dalam segala hal memuaskan pokoknya terimakasih bukalapak;['memang', 'bukalapak', 'the', 'best', 'sangat', 'membantu', 'dalam', 'segala', 'hal', 'memuaskan', 'pokoknya', 'terimakasih', 'bukalapak'];['bukalapak', 'the', 'best', 'membantu', 'memuaskan', 'pokoknya', 'terimakasih', 'bukalapak'];['bukalapak', 'the', 'best', 'membantu', 'memuaskan', 'pokoknya', 'terimakasih', 'bukalapak'];['bukalapak', 'the', 'best', 'bantu', 'muas', 'pokok', 'terimakasih', 'bukalapak'];bukalapak the best bantu muas pokok terimakasih bukalapak
Abua Din;5;Apk sangat membantu, mudah dan sangat lengkap.. Terimakasih buka lapak 😉;0;0;1;0;1;2;apk sangat membantu, mudah dan sangat lengkap.. terimakasih buka lapak 😉;apk sangat membantu mudah dan sangat lengkap terimakasih buka lapak;['apk', 'sangat', 'membantu', 'mudah', 'dan', 'sangat', 'lengkap', 'terimakasih', 'buka', 'lapak'];['apk', 'membantu', 'mudah', 'lengkap', 'terimakasih', 'buka', 'lapak'];['apk', 'membantu', 'mudah', 'lengkap', 'terimakasih', 'buka', 'lapak'];['apk', 'bantu', 'mudah', 'lengkap', 'terimakasih', 'buka', 'lapak'];apk bantu mudah lengkap terimakasih buka lapak
Rizal Kurniawan;5;Respon dan proses transaksi dilapak ini cepat dan bersahabat, good job Bukalapak;1;1;0;1;1;4;respon dan proses transaksi dilapak ini cepat dan bersahabat, good job bukalapak;respon dan proses transaksi dilapak ini cepat dan bersahabat good job bukalapak;['respon', 'dan', 'proses', 'transaksi', 'dilapak', 'ini', 'cepat', 'dan', 'bersahabat', 'good', 'job', 'bukalapak'];['respon', 'proses', 'transaksi', 'dilapak', 'cepat', 'bersahabat', 'good', 'job', 'bukalapak'];['respon', 'proses', 'transaksi', 'dilapak', 'cepat', 'bersahabat', 'good', 'job', 'bukalapak'];['respon', 'proses', 'transaksi', 'lapak', 'cepat', 'sahabat', 'good', 'job', 'bukalapak'];respon proses transaksi lapak cepat sahabat good job bukalapak
Iswan Iswan;2;Harap di perhatikan setiap belanja d bukalapak sesalu ada yg nlp , dan saha pernah kejadian tertipu , untuk lewak ke akukaku aga ketat ke amana langsung akun saya d blok,;0;0;0;0;0;0;harap di perhatikan setiap belanja d bukalapak sesalu ada yg nlp , dan saha pernah kejadian tertipu , untuk lewak ke akukaku aga ketat ke amana langsung akun saya d blok,;harap di perhatikan setiap belanja d bukalapak sesalu ada yg nlp dan saha pernah kejadian tertipu untuk lewak ke akukaku aga ketat ke amana langsung akun saya d blok;['harap', 'di', 'perhatikan', 'setiap', 'belanja', 'd', 'bukalapak', 'sesalu', 'ada', 'yg', 'nlp', 'dan', 'saha', 'pernah', 'kejadian', 'tertipu', 'untuk', 'lewak', 'ke', 'akukaku', 'aga', 'ketat', 'ke', 'amana', 'langsung', 'akun', 'saya', 'd', 'blok'];['harap', 'perhatikan', 'belanja', 'd', 'bukalapak', 'sesalu', 'yg', 'nlp', 'saha', 'kejadian', 'tertipu', 'lewak', 'akukaku', 'aga', 'ketat', 'amana', 'langsung', 'akun', 'd', 'blok'];['harap', 'perhatikan', 'belanja', 'd', 'bukalapak', 'sesalu', 'yg', 'nlp', 'saha', 'kejadian', 'tertipu', 'lewak', 'akukaku', 'aga', 'ketat', 'amana', 'langsung', 'akun', 'd', 'blok'];['harap', 'perhati', 'belanja', 'd', 'bukalapak', 'sesalu', 'yg', 'nlp', 'saha', 'jadi', 'tipu', 'lewak', 'akukaku', 'aga', 'ketat', 'amana', 'langsung', 'akun', 'd', 'blok'];harap perhati belanja d bukalapak sesalu yg nlp saha jadi tipu lewak akukaku aga ketat amana langsung akun d blok
Khufadz Fazari;4;Bintangnya saya turunin jadi 2,,bukalapak eror,,,proses transaksi bermasalah,,,mohon segera diperbaiki;0;-1;0;0;0;1;bintangnya saya turunin jadi 2,,bukalapak eror,,,proses transaksi bermasalah,,,mohon segera diperbaiki;bintangnya saya turunin jadi bukalapak eror proses transaksi bermasalah mohon segera diperbaiki;['bintangnya', 'saya', 'turunin', 'jadi', 'bukalapak', 'eror', 'proses', 'transaksi', 'bermasalah', 'mohon', 'segera', 'diperbaiki'];['bintangnya', 'turunin', 'bukalapak', 'eror', 'proses', 'transaksi', 'bermasalah', 'mohon', 'diperbaiki'];['bintangnya', 'turunin', 'bukalapak', 'eror', 'proses', 'transaksi', 'bermasalah', 'mohon', 'diperbaiki'];['bintang', 'turunin', 'bukalapak', 'eror', 'proses', 'transaksi', 'masalah', 'mohon', 'baik'];bintang turunin bukalapak eror proses transaksi masalah mohon baik
Dwi Shaw;5;Aplikasi nya bagus, sangat sangat membantu.... Kereeennnnn...!!!;0;0;1;0;1;2;aplikasi nya bagus, sangat sangat membantu.... kereeennnnn...!!!;aplikasi nya bagus sangat sangat membantu kereeennnnn;['aplikasi', 'nya', 'bagus', 'sangat', 'sangat', 'membantu', 'kereeennnnn'];['aplikasi', 'nya', 'bagus', 'membantu', 'kereeennnnn'];['aplikasi', 'nya', 'bagus', 'membantu', 'kereeennnnn'];['aplikasi', 'nya', 'bagus', 'bantu', 'kereeennnnn'];aplikasi nya bagus bantu kereeennnnn
deni robiani;5;Sangat membantu disaat ada kebutuhan;0;0;1;0;0;1;sangat membantu disaat ada kebutuhan;sangat membantu disaat ada kebutuhan;['sangat', 'membantu', 'disaat', 'ada', 'kebutuhan'];['membantu', 'disaat', 'kebutuhan'];['membantu', 'disaat', 'kebutuhan'];['bantu', 'saat', 'butuh'];bantu saat butuh
andi pandangai;5;Sesuai barang...lebih cepat dari estimasi.. Terima kasih..mantappp;0;0;0;1;0;1;sesuai barang...lebih cepat dari estimasi.. terima kasih..mantappp;sesuai barang lebih cepat dari estimasi terima kasih mantappp;['sesuai', 'barang', 'lebih', 'cepat', 'dari', 'estimasi', 'terima', 'kasih', 'mantappp'];['sesuai', 'barang', 'cepat', 'estimasi', 'terima', 'kasih', 'mantappp'];['sesuai', 'barang', 'cepat', 'estimasi', 'terima', 'kasih', 'mantappp'];['sesuai', 'barang', 'cepat', 'estimasi', 'terima', 'kasih', 'mantappp'];sesuai barang cepat estimasi terima kasih mantappp
aguy_aguy M.komarullah;5;Min tolong dunk untuk komplenan nya lebih dipermudah lagi,lngsung chat ke cs nya;0;-1;0;0;0;1;min tolong dunk untuk komplenan nya lebih dipermudah lagi,lngsung chat ke cs nya;min tolong dunk untuk komplenan nya lebih dipermudah lagi lngsung chat ke cs nya;['min', 'tolong', 'dunk', 'untuk', 'komplenan', 'nya', 'lebih', 'dipermudah', 'lagi', 'lngsung', 'chat', 'ke', 'cs', 'nya'];['min', 'tolong', 'dunk', 'komplenan', 'nya', 'dipermudah', 'lngsung', 'chat', 'cs', 'nya'];['min', 'tolong', 'dunk', 'komplenan', 'nya', 'dipermudah', 'lngsung', 'chat', 'cs', 'nya'];['min', 'tolong', 'dunk', 'komplenan', 'nya', 'mudah', 'lngsung', 'chat', 'cs', 'nya'];min tolong dunk komplenan nya mudah lngsung chat cs nya
Asep Rama;5;Oke banget, profesional dan kompetitif. Saya member paling lama di bukalapak;0;0;0;1;0;1;oke banget, profesional dan kompetitif. saya member paling lama di bukalapak;oke banget profesional dan kompetitif saya member paling lama di bukalapak;['oke', 'banget', 'profesional', 'dan', 'kompetitif', 'saya', 'member', 'paling', 'lama', 'di', 'bukalapak'];['oke', 'banget', 'profesional', 'kompetitif', 'member', 'bukalapak'];['oke', 'banget', 'profesional', 'kompetitif', 'member', 'bukalapak'];['oke', 'banget', 'profesional', 'kompetitif', 'member', 'bukalapak'];oke banget profesional kompetitif member bukalapak
dodi permadi;5;Transaksi mudah, aman, cepat;0;0;0;1;0;1;transaksi mudah, aman, cepat;transaksi mudah aman cepat;['transaksi', 'mudah', 'aman', 'cepat'];['transaksi', 'mudah', 'aman', 'cepat'];['transaksi', 'mudah', 'aman', 'cepat'];['transaksi', 'mudah', 'aman', 'cepat'];transaksi mudah aman cepat
Mas Tejo;1;aplikasi di update makin gak jelas pesanan tidak bisa dibatalkan;0;-1;0;0;0;1;aplikasi di update makin gak jelas pesanan tidak bisa dibatalkan;aplikasi di update makin gak jelas pesanan tidak bisa dibatalkan;['aplikasi', 'di', 'update', 'makin', 'gak', 'jelas', 'pesanan', 'tidak', 'bisa', 'dibatalkan'];['aplikasi', 'update', 'gak', 'pesanan', 'dibatalkan'];['aplikasi', 'update', 'gak', 'pesanan', 'dibatalkan'];['aplikasi', 'update', 'gak', 'pesan', 'batal'];aplikasi update gak pesan batal
egi Sihabudin;5;Mantap pelayanan yang sangat baik dan mudah;1;0;0;0;0;1;mantap pelayanan yang sangat baik dan mudah;mantap pelayanan yang sangat baik dan mudah;['mantap', 'pelayanan', 'yang', 'sangat', 'baik', 'dan', 'mudah'];['mantap', 'pelayanan', 'mudah'];['mantap', 'pelayanan', 'mudah'];['mantap', 'layan', 'mudah'];mantap layan mudah
arif ramadhan;5;Skarang lumayan lah,pengiriman cepat banget,skarang sdah sangat bagus,makasih bl;0;0;0;1;0;1;skarang lumayan lah,pengiriman cepat banget,skarang sdah sangat bagus,makasih bl;skarang lumayan lah pengiriman cepat banget skarang sdah sangat bagus makasih bl;['skarang', 'lumayan', 'lah', 'pengiriman', 'cepat', 'banget', 'skarang', 'sdah', 'sangat', 'bagus', 'makasih', 'bl'];['skarang', 'lumayan', 'pengiriman', 'cepat', 'banget', 'skarang', 'sdah', 'bagus', 'makasih', 'bl'];['skarang', 'lumayan', 'pengiriman', 'cepat', 'banget', 'skarang', 'sdah', 'bagus', 'makasih', 'bl'];['skarang', 'lumayan', 'kirim', 'cepat', 'banget', 'skarang', 'sdah', 'bagus', 'makasih', 'bl'];skarang lumayan kirim cepat banget skarang sdah bagus makasih bl
Virginia Kurnia 075;1;"Penipuan ini mah. Mau kirim barang udah tf tpi gak di konfirm"". Sampai kadaluarsa. Dan gatau gimana cara tarik uangnya. Nyesel banget";0;0;0;-1;0;1;"penipuan ini mah. mau kirim barang udah tf tpi gak di konfirm"". sampai kadaluarsa. dan gatau gimana cara tarik uangnya. nyesel banget";penipuan ini mah mau kirim barang udah tf tpi gak di konfirm sampai kadaluarsa dan gatau gimana cara tarik uangnya nyesel banget;['penipuan', 'ini', 'mah', 'mau', 'kirim', 'barang', 'udah', 'tf', 'tpi', 'gak', 'di', 'konfirm', 'sampai', 'kadaluarsa', 'dan', 'gatau', 'gimana', 'cara', 'tarik', 'uangnya', 'nyesel', 'banget'];['penipuan', 'mah', 'kirim', 'barang', 'udah', 'tf', 'tpi', 'gak', 'konfirm', 'kadaluarsa', 'gatau', 'gimana', 'tarik', 'uangnya', 'nyesel', 'banget'];['penipuan', 'mah', 'kirim', 'barang', 'sudah', 'tf', 'tpi', 'gak', 'konfirm', 'kadaluarsa', 'gatau', 'gimana', 'tarik', 'uangnya', 'nyesel', 'banget'];['tipu', 'mah', 'kirim', 'barang', 'sudah', 'tf', 'tpi', 'gak', 'konfirm', 'kadaluarsa', 'gatau', 'gimana', 'tarik', 'uang', 'nyesel', 'banget'];tipu mah kirim barang sudah tf tpi gak konfirm kadaluarsa gatau gimana tarik uang nyesel banget
